"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"spinPB2_sg3l",1388649,265925,135584,119399,3,16,16,1967,21,23
"spinPB2_sg3r",1390749,253046,160692,145893,10,42,42,2542,14,15
"spinPB3_sg2l",1394792,151519,99632,73854,2,9,9,1032,4,5
"spinPB3_sg3l",1625158,134970,88032,82540,3,5,5,998,12,13
"spinPB3_sg3r",1425347,136999,103247,93643,6,30,30,1122,14,16
"spinPU1_sg2l",1336299,151719,97758,89684,1,2,2,1184,11,12
"spinPU2_sg2l",1350839,166030,111115,103648,1,1,1,1106,11,12
"spinPU2_sg3l",1388614,193985,107478,79950,0,8,8,1246,6,8
"spinPU2_sg3r",1390740,140295,98531,80106,0,3,3,1195,10,11
"spinPU3_sg2l",2008469,167008,111721,91022,5,7,7,1072,5,7
"spinPU3_sg3l",1388660,232136,126311,104656,3,18,18,1405,29,30
"UnicilNonP_SNpost 1175413",1541658,206897,156182,152097,23,8,8,2265,69,70
"UnicilNonP_SNpost 1335791",1335790,72427,53035,51598,8,0,0,907,17,18
"ventralCirrusPB1_pygr",1275823,81566,56762,52937,1,7,7,894,10,11
"ventralCirrusPB1_sg2l",1292334,73541,51072,45197,0,1,1,645,12,13
"ventralCirrusPBc1_pygl",1364517,92604,58375,54638,1,2,2,904,17,18
"ventralParaPB1_sg1l",1361481,106778,58869,55624,2,2,2,436,13,14
"ventralParaPB1_sg1r",1361497,131117,68037,52604,3,10,10,666,13,14
"ventralParaPB1_sg2l",1360893,110975,75685,72845,2,11,11,959,22,23
"ventralParaPB1_sg2r",1837125,79197,50480,49129,0,1,1,318,10,11
"ventralParaPB2_sg1r",608460,263316,85295,64142,2,8,8,719,9,10
"ventralParaPB2_sg2l_PKD2-1+",1848592,242485,134646,127955,6,12,12,1761,41,42
"ventralParaPU1_sg1l",1361174,246329,138041,130956,9,21,21,2064,23,24
"ventralParaPU1_sg1r",1361146,249674,127757,124310,4,32,32,1721,33,34
"ventralParaPU1_sg2l; SN",1301396,82574,62686,61296,0,1,1,537,13,14
"ventralParaPU1_sg2r",1464604,72970,59227,58108,0,4,4,380,16,17
"ventralParaPU2_sg1l",1361468,127793,65065,59476,1,1,1,393,13,14
"ventralParaPU2_sg1r",1361489,121680,61576,55449,1,10,10,660,14,15
"ventralParaPU2_sg2l",1730785,64835,45126,43390,4,4,4,414,12,13
"ventralParaPU2_sg2r",1756581,176514,116671,111047,4,19,19,1664,28,29
"ventralParaPU4_sg2l",1849185,225656,122626,119253,3,9,9,1743,40,43
"ventralpostParaPUc1_sg1l",1377175,138561,57988,53578,1,7,6,560,11,12
"ventralpostParaPUc1_sg1r",1778482,136316,90738,85988,0,4,4,1050,23,25
"ventralpostParaPUc1_sg2l",1386539,107111,86370,84504,3,5,5,1249,23,24
"ventralpostParaPUc1_sg2r",1298294,108253,91089,88489,2,6,6,960,25,26
"ventralpostParaPUc2_sg2l1",1274302,106404,87299,85598,2,3,3,1087,30,31
"VentralpygCR1l",1275026,132115,92578,85612,9,9,9,1453,25,28
"VentralpygCR1r",1275053,116268,87755,85155,12,5,5,1393,21,22
"VentralpygCR2l",1278688,129327,93350,90097,13,31,31,1710,28,29
"VentralpygCR2r",1178663,135673,93712,89123,2,21,21,1520,19,20
"VentralpygCR3l",1278697,191172,144451,139264,17,32,32,2355,58,63
"VentralpygCR3r",1349034,147252,100255,94009,5,12,12,1463,30,31
"VentralpygCRunp",1274053,140766,108048,105734,18,18,18,1855,31,32
"ventralpygPB1l",1275357,75758,55632,53665,4,7,7,836,17,18
"ventralpygPB1r",1274031,47046,35962,34826,2,1,1,573,9,11
"ventralpygPU1unp",1361264,148249,111254,108311,17,28,28,1758,39,41
"ventralTeloPB1l",1361224,92681,54821,51785,2,1,1,600,13,15
"ventralTeloPB1r",1349004,113838,86236,83937,3,18,18,1075,20,21
"ventralTeloPB2l",1361412,71549,46814,44945,1,1,1,498,11,13
"ventralTeloPUc1l",1516536,152000,112768,108866,4,11,11,1647,24,25
"ventralTeloPUc1r",1361208,144477,113816,109663,6,7,7,1549,40,41
"ventralTeloPUc2l",1699713,131862,83473,78600,2,9,9,1095,21,22
"ventralTeloPUc2r",1349009,101874,75335,73116,2,15,15,842,20,21
"ventraltrunkPB1_sg1l",1348649,306702,157540,131088,2,18,18,1661,40,42
"ventraltrunkPB1_sg1r",1348770,177394,96353,86954,2,18,18,1207,23,24
"ventraltrunkPB1_sg2l",1764464,160376,96723,94327,0,27,27,1329,31,36
"ventraltrunkPB1_sg2r_PKD2-1+",1338735,183038,97882,91511,0,11,11,1139,20,21
"ventraltrunkPB1_sg3l_PKD2-1+",1360843,95668,77562,75735,1,25,25,1038,20,21
"ventraltrunkPU1_sg1l; SN",1348661,127733,74935,72202,4,1,1,790,16,17
"ventraltrunkPU1_sg1r",1356982,216420,101377,86625,3,9,9,1134,24,25
"VentraltrunkPUunp-Glialike_sg2",1312647,103387,90197,89060,4,0,0,678,28,31
