"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"INipsiasc_sg1r 259764",259763,225027,113718,104271,0,6,6,1506,21,23
"INipsiasc_sg2l 1279738",1546007,391022,202391,173573,12,6,6,2836,50,55
"INipsiasc_sg2l 1354210",1354209,267283,137531,132850,10,22,22,2046,51,53
"INipsiasc_sg2l 1395840",1395840,158919,71489,68160,8,11,11,1152,16,17
"INipsiasc_sg2l 1417624",1987526,181496,85560,83249,4,5,5,759,29,31
"INipsiasc_sg2l 1419967",2015926,467100,241210,203925,22,2,2,2845,53,57
"INipsiasc_sg2l 1441051",1441050,222826,107207,101415,5,7,7,1549,36,39
"INipsiasc_sg2l 1456639",1456639,178937,92395,87942,15,16,16,1259,35,36
"INipsiasc_sg2l 1462226",1462225,119369,65896,63899,6,2,2,944,16,17
"INipsiasc_sg2l 1462291",1462290,110732,68568,64369,6,0,0,1086,32,34
"INipsiasc_sg2l 1520676",1520675,188265,107893,101978,3,29,29,1614,47,50
"INipsiasc_sg2l 1686417",2015432,237010,105054,93575,3,0,0,1398,19,21
"INipsiasc_sg2l 1957860",1957859,207656,105835,100377,3,3,3,1670,35,38
"INipsiasc_sg2l 1959422",1959421,266384,136243,128570,8,5,5,1628,36,37
"INipsiasc_sg2l 2001381",2001380,256431,131393,103564,10,5,5,1588,23,24
"INipsiasc_sg2l 505209",505209,223514,120983,113371,9,2,2,2259,19,21
"INipsiasc_sg2l 764616",764615,311947,165582,159762,19,30,30,2469,65,67
"INipsiasc_sg2r 1313054",1313053,391857,150062,128922,3,0,0,1969,38,39
"INipsiasc_sg2r 1441374",1441373,87902,65909,64981,2,3,3,907,16,17
"INipsiasc_sg2r 1441615",1441614,126232,77544,75548,8,2,2,1031,16,17
"INipsiasc_sg2r 1446192",1446191,92685,53099,51852,8,0,0,853,11,12
"INipsiasc_sg2r 1447993",1447992,96679,72984,69121,3,3,3,1102,29,32
"INipsiasc_sg2r 1448859",1448858,166837,108991,105829,6,0,0,1711,39,45
"INipsiasc_sg2r 1454390",1450796,178126,95645,91723,7,9,9,1474,39,41
"INipsiasc_sg2r 1454629",1454628,220093,113094,108713,9,0,0,1647,40,43
"INipsiasc_sg2r 1460632",1460631,96190,58797,56670,6,2,2,776,24,25
"INipsiasc_sg2r 1483033",1483032,114391,91689,89785,6,9,9,1206,47,48
"INipsiasc_sg2r 1839509",1839508,131117,90036,84549,1,7,7,1004,29,32
"INipsiasc_sg2r 1841159",1841158,105281,72300,70115,0,16,16,904,15,16
"INipsiasc_sg2r 1850682",1850681,436478,202705,182373,11,2,2,2511,39,43
"INipsiasc_sg2r 2000807",2000806,90681,64721,63221,5,0,0,888,21,22
"INipsiasc_sg3l 1274440",1274440,271308,137352,132623,6,7,7,2556,37,39
"INipsiasc_sg3l 1274482",1683821,297018,161243,154952,21,16,16,2654,62,64
"INipsiasc_sg3l 1275244",1275243,192150,152531,149100,5,9,9,2251,36,39
"INipsiasc_sg3l 1389372",1389371,127928,102086,99216,9,1,1,1565,36,40
"INipsiasc_sg3l 1396755",1396754,119505,92312,90647,2,4,4,1329,29,30
"INipsiasc_sg3l 1409562",1409561,297944,177550,171097,16,33,33,2711,59,60
"INipsiasc_sg3l 1414340",1414339,84877,69311,68067,2,1,1,1164,15,17
"INipsiasc_sg3l 1521492",1521491,148195,68724,66676,18,0,0,1356,19,20
"INipsiasc_sg3l 1699768",1699767,84767,66297,63314,10,4,4,752,32,34
"INipsiasc_sg3l 2000956",2000955,164656,97613,94343,4,11,11,1548,25,26
"INipsiasc_sg3l 565080",565079,188497,94772,91080,6,0,0,1620,13,14
"INipsiasc_sg3l1 1386659",1386659,106578,83863,81830,7,1,1,1180,30,34
"INipsiasc_sg3r 1172205",1845855,415029,253946,217007,27,6,6,3419,51,54
"INipsiasc_sg3r 1172370",1380543,612559,375079,355742,44,30,30,4960,108,113
"INipsiasc_sg3r 1278419",1278418,75367,56924,55547,4,0,0,981,10,11
"INipsiasc_sg3r 1372364",1372363,108927,91298,89431,6,3,3,1449,32,33
"INipsiasc_sg3r 1378972",1407854,162936,104113,99125,6,4,4,1734,28,30
"INipsiasc_sg3r 1381576",1381575,115450,91596,88215,19,3,3,1295,35,40
"INipsiasc_sg3r 1388789",1388788,58272,50439,49294,5,3,3,701,17,19
"INipsiasc_sg3r 1400536",1400535,152570,116746,114147,13,9,9,1572,37,40
"INipsiasc_sg3r 1404986",1404985,77784,60188,58490,4,0,0,884,23,25
"INipsiasc_sg3r 1443736",1443735,166884,93469,89995,1,0,0,1477,22,23
"INipsiasc_sg3r 1934818",1934818,301118,167925,162508,13,17,17,2659,52,54
"INipsiasc_sg3r 1976064",1976063,236831,154005,148854,21,27,27,2399,52,54
"INipsiasc_sg3r 478001",478001,64261,45288,44343,11,8,8,741,12,13
"INipsiascATO_sg1r",1957722,311369,163409,143219,6,6,6,1807,30,33
"INipsiascFVa_sg3r2",1340899,377138,174792,163802,19,45,45,2912,33,34
"INipsiascMIP_pyg",445419,102726,71413,69676,10,8,8,1053,24,25
"INipsidesc_sg1 185521",185521,418386,218611,209000,17,22,22,3842,57,60
"INipsidesc_sg1l 1297502",1297501,205264,103649,99367,6,6,6,1678,30,31
"INipsidesc_sg1l 1305462",1305461,132583,85951,80637,8,1,1,875,27,29
"INipsidesc_sg1l 1309033",1309032,332635,174988,166701,11,11,11,2361,59,69
"INipsidesc_sg1l 1397888",1397887,180120,94137,90881,9,11,11,1501,24,25
"INipsidesc_sg1l 1419640",1419639,130008,78138,75454,5,1,1,817,28,30
"INipsidesc_sg1l 1447878",1447877,202118,112478,106461,9,17,17,1424,22,23
"INipsidesc_sg1l 1455179",1455178,186863,99558,92368,13,10,10,1339,36,40
"INipsidesc_sg1l 1499595",1499594,147334,52113,50016,3,15,15,769,15,16
"INipsidesc_sg1l 1645790",1645789,327819,144663,136724,10,20,19,1612,57,62
"INipsidesc_sg1l 1742501",1742500,237318,125575,118594,3,3,3,1497,48,50
"INipsidesc_sg1l1 932288",932287,376430,221131,213919,20,22,21,3094,78,82
"INipsidesc_sg1r 1000273",1000272,279449,148938,143886,18,15,15,2355,58,61
"INipsidesc_sg1r 1339454",1339453,69525,46202,44398,1,1,1,708,15,16
"INipsidesc_sg1r 1378190",1378190,277675,154796,147808,29,16,16,2923,26,29
"INipsidesc_sg1r 1403262",1403261,127603,68741,61858,3,4,4,854,21,23
"INipsidesc_sg1r 1405400",1405399,114467,75493,73630,8,19,19,1117,30,32
"INipsidesc_sg1r 1408039",1408038,230907,113120,106625,1,4,4,1664,41,43
"INipsidesc_sg1r 1426566",1426565,309429,147332,104230,4,16,16,1982,36,37
"INipsidesc_sg1r 1489890",1489889,137377,82661,80654,1,9,9,1262,16,17
"INipsidesc_sg1r 1582965",1582964,159824,90236,78266,12,16,16,1451,22,24
"INipsidesc_sg1r 1603828",1603827,144145,88697,84845,6,5,5,1156,30,32
"INipsidesc_sg2l",1323773,95234,70292,68638,2,19,19,1156,11,12
"INipsidesc_sg2l 1381502",1381501,78385,66432,64528,8,4,4,883,11,12
"INipsidesc_sg2l 1397353",1397352,350429,194310,185312,21,25,25,2843,77,81
"INipsidesc_sg2l 1611443",1611442,104346,81891,79106,11,8,8,1017,34,35
"INipsidesc_sg2r",1957108,116689,83951,80350,11,30,30,1142,28,29
"INipsidesc_sg2r 1469562",1469561,183730,134952,130553,4,0,0,2046,65,69
"INipsidesc_sg2r 1469616",1469615,114327,89089,85552,2,6,5,1256,28,33
"INipsidesc_sg2r 1477379",1477378,78788,61904,60067,6,0,0,844,23,26
"INipsidesc_sg2r 1797828",1797827,155192,71160,67637,2,1,1,993,24,26
"INipsidesc_sg2r 2010340",2010340,165303,102514,95967,3,36,36,1494,49,52
"INipsidesc_sg2r 758872",758871,161482,118483,114695,15,4,4,1687,47,51
"INipsidesc_sg3l 1397347",1397346,66175,55241,52283,7,6,6,763,16,18
"INipsidesc_sg3l 1424854",1424853,99136,80191,78646,4,7,7,1256,28,29
"INipsidesc_sg3l 1430492",1430491,91982,71337,70077,5,2,2,931,25,28
"INipsidesc_sg3r 1435059",1435058,68557,54304,52407,3,4,4,857,10,12
"INipsidesc_sg3r 1841403",1841402,51389,36453,35980,5,0,0,478,9,10
"INipsidescATO_sg1l",1957030,139865,67201,63882,0,2,2,997,30,32
"INl 1342142",1342141,137060,86007,77422,2,2,2,821,23,25
"INl 1345151",1345150,107771,85600,82819,5,5,5,749,35,38
"INlasso_l1",1303909,168991,126282,122525,3,7,7,1091,58,65
"INlasso_l2",1354390,154453,121824,115535,6,40,40,1065,40,42
"INlasso_l3",1273359,110925,90704,89339,3,6,6,678,23,24
"INlasso_postSN_l1",1345703,275948,212436,200944,23,28,28,1595,83,92
"INlasso_postSN_r1",1273131,227978,181123,168547,20,35,35,1629,63,65
"INlasso_r1",1314734,139233,111812,107917,16,7,7,991,40,41
"INlasso_r3",1304775,151923,125171,122277,5,8,8,982,60,67
"INlasso_r4",1185115,160395,133224,131162,1,7,7,857,56,59
"INlassoRGWa_r2",1331032,169405,133208,122426,12,20,20,1057,46,50
"INlat1_l",1354406,101338,74387,69829,12,26,26,678,23,25
"INlat1_r",1332314,146896,123378,119686,3,16,16,938,46,51
"INlat2_l",1717565,127195,93124,89152,4,9,9,884,44,47
"INlat2_r",1330831,97208,80696,79070,4,15,15,679,30,34
"INleucoPU_sg1l",1404567,462224,241074,233095,46,116,116,3519,83,84
"INleucoPU_sg1r",1829164,365287,216455,207675,43,126,126,3151,71,74
"INlongCR-UpL_sg3r1",1616645,123605,94620,92615,29,13,13,1101,43,45
"INloop 1348200",1348199,279171,229648,224601,19,18,18,1874,99,111
"INMC3_l",1365661,233837,131849,114478,7,15,15,1193,31,32
"INMC3_r",1321475,234431,146861,136561,11,24,24,1354,30,33
"INmeta_sg0r",824903,337931,240819,193160,10,21,21,1415,41,45
"INmidL_l1",1360179,154925,120277,117558,2,1,1,1086,62,69
"INmidL_l2",1337238,101840,87611,86513,1,0,0,821,35,42
"INmidL_r2",1299586,131148,107846,104541,3,0,0,887,48,56
"INMIP_l 1732421",1732420,224000,171087,166933,11,13,13,1555,80,85
"INmus_l",1334234,128903,100778,99168,7,6,6,914,41,42
"INmus_r",364674,151126,126552,123998,5,6,6,1006,45,48
"INPDF-lcl1",1337258,413604,240901,226238,24,26,26,2853,59,65
"INPDF-lcr1",1293518,323783,196876,175544,23,8,8,1831,37,40
"INPDF-lcr2",1287449,193692,136113,119357,11,1,1,1155,24,27
"INPDF_sg2r",280016,258006,111135,106838,11,18,18,1332,31,33
"INpear_l1",1285075,103057,84390,82251,4,10,10,757,23,24
"INpear_l2",41848,178055,141941,139103,1,13,13,1064,58,63
"INpear_r1",1304469,112058,94097,91338,2,5,5,863,27,28
"INpear_r2",857325,175630,140549,137344,3,13,13,846,58,66
"INperiasc_sg1l",1602700,171940,89480,71553,2,2,2,1044,10,11
"INperiasc_sg1l 1391562",1391561,216597,124126,112983,13,5,5,1093,35,36
"INperiasc_sg1r 1357167",1357166,370497,182847,158987,11,8,8,2144,27,29
"INperiasc_sg3r 1341141",1341140,211972,155118,146793,7,32,32,2136,23,25
"INperif 1663435",1663434,93967,57645,55006,3,1,1,660,10,11
"INperif_sg2l",1848315,220457,174756,166736,3,4,4,2092,35,36
"INperifasc_sg2r 1845306",1845305,283053,160857,146291,10,45,45,2255,30,32
"INperifsplit_sg1l 1592517",1588133,241369,147472,120062,5,8,8,1582,22,23
"INpreLadder_sg3l",1432915,110488,86955,84296,3,10,10,1128,20,21
"INpreLadder_sg3r",1732295,113880,95417,91981,4,11,11,1126,32,35
"INpreLadderATO_sg2l",2000850,289705,173486,168401,20,37,37,2085,75,78
"INpreLadderATO_sg2r",1829214,269759,146103,139239,14,36,36,1866,54,56
"INpreMN1l",1054945,183848,143193,138653,13,25,25,1247,71,82
"INpreMN1r",1304968,154193,127182,123799,7,22,22,1041,61,67
"INpreMN2l",355224,121020,101170,98943,7,21,20,678,39,43
"INpreMN2r",1285310,144461,120394,116547,2,31,31,962,51,58
"INpreMN3l",45548,213753,166463,163627,10,18,18,1084,58,66
"INpreMN3r",190983,225189,174075,167094,10,14,14,1509,61,70
"INpreMNob 1394877",1394876,232539,172099,168774,17,25,25,2869,86,89
"INpreMNob_sg2l",1487196,138228,107945,105528,4,15,15,1458,50,52
"INpreSer_l",1301268,201082,162350,157519,7,34,34,1528,63,65
"INpreSer_r",1285393,190061,159331,152620,7,32,32,1386,50,57
"INpro_l1",92619,529096,301140,263749,16,31,31,3262,75,81
"INpro_l2; INvc_l2",498302,445828,277988,267299,20,14,14,2911,99,114
"INpro_l3",499451,549238,318478,299564,27,25,25,3576,111,118
"INpro_l4",1302031,146352,103223,100641,7,7,7,925,35,39
"INpro_l5",1340805,228519,172090,166864,16,11,11,1528,79,83
"INpro_l6",1465914,238702,158351,142974,18,19,19,1403,37,40
"INpro_r1",366190,571706,348276,328931,41,29,29,4081,117,134
"INpro_r2; INvc_r7",493786,393157,229381,214648,15,27,27,2429,87,94
"INpro_r4",1321665,174871,134532,128992,11,9,9,1202,55,61
"INpro_r6",1285875,244746,156068,145607,7,17,17,1355,45,49
"INpro_r7",1292947,188813,121218,117517,3,7,7,1191,36,41
"INproATO_r3",1430426,400552,248656,233010,21,17,17,2859,87,88
"INproT2_l1",1489563,533598,310967,282114,23,15,15,3077,100,116
"INproT2_l2; INpro_l2",385141,523504,289986,248768,22,24,24,3456,82,89
"INproT2_r1; INpro_r4",108173,421066,253084,215755,23,5,5,2424,77,86
"INproT2_r2; INpro_r2",923710,543924,290441,261116,22,19,19,3117,109,121
"INproT3_r1; INpro_r3",557944,407583,230567,218589,5,11,11,2326,79,84
"INr 1065084",1065083,192898,106737,97206,3,3,3,952,21,24
"INr 1272524",1272523,132939,113080,110174,6,0,0,894,46,54
"INr 1275592",1275591,144719,104800,90391,1,4,4,668,17,23
"INr 1328674",1328673,122518,84580,79346,1,4,4,768,23,27
"INr 1340704",1340703,122992,102790,100747,9,12,12,927,51,57
"INr 1369463",1369462,114723,91439,87496,3,1,1,713,29,30
"INr 1372594",1372593,125341,96378,87098,0,3,3,794,18,21
"INr 469849",469848,199511,155124,151472,9,2,2,1087,62,69
"INr VLSO target1325813",1325812,122579,91159,85618,5,13,13,620,13,14
"INR1_l1",1265951,309116,211357,199018,13,6,6,1784,67,75
"INR1_l2",67795,318853,207142,196062,2,5,5,1750,88,98
"INR1_r1",1328854,318634,215883,204170,13,15,15,1930,81,90
"INR1_r2",1704627,290693,192395,174867,3,3,3,1535,65,66
"INRGWa-dcl1",251790,536242,391348,377101,78,36,36,3802,184,193
"INRGWa-dcl2",1292427,531372,414339,400424,64,50,50,3741,223,246
"INRGWa-dcr1",246584,578564,453854,439112,109,45,45,4206,210,220
"INRGWa-dcr2",1292932,476121,368867,357156,57,74,74,3147,192,207
"INrope_l1",386671,624481,341614,304416,70,248,248,4439,59,60
"INrope_r1",161743,719682,324500,279477,51,158,156,3951,55,57
"INshort 1616483",1616482,103545,80662,78656,15,10,10,1017,27,32
"INshort 1682795",1682794,64937,34970,33896,3,1,1,317,9,10
"INshort-asc_l_vnc_l_immature? 1396069",1396068,110565,76178,73997,3,1,1,995,20,22
"INshort_lmmature_l 1609130",1609129,123152,75414,73707,4,0,0,917,23,25
"INsn_l2",57553,188792,136759,131735,30,36,36,1177,51,60
"INsn_l3",370662,213002,162875,156365,12,31,31,1131,71,84
"INsn_l4",411531,213482,173022,168415,15,45,45,1276,84,97
"INsn_r1",54090,175401,133728,129248,33,37,37,1165,65,71
"INsn_r2",366449,248846,203331,198628,15,39,39,1331,95,107
"INsn_r3; sn_like",380842,386719,249512,237757,11,27,27,2653,76,84
"INsn_r4",590953,205195,168825,164906,10,53,53,1234,72,86
"INsnl_l",74477,128745,99167,96448,3,9,9,820,44,52
"INsnl_r",1286825,163758,125116,121924,3,7,7,1101,57,68
"INsplit 2233701",2233700,385319,184326,177013,28,4,4,2427,64,65
"INsplit_sg1 r 1316197",71800,393326,179656,166776,10,31,31,2482,48,50
"INsplit_sg1l 1308348",1308347,344594,170896,144205,3,6,6,1464,42,46
"INsplit_sg1l 1328127",1328126,330780,127588,119287,1,10,10,1563,35,38
"INsplit_sg1l 1328484",1328483,190304,105564,100679,15,3,3,1539,38,40
"INsplit_sg1l 1410729",1410728,306428,183423,163136,1,3,3,1856,43,45
"INsplit_sg1l 2015949",2015966,332855,183314,159738,3,6,6,1828,40,43
"INsplit_sg1r 1453548",1453547,279923,146976,139926,16,14,14,2048,46,48
"INsplit_sg1r 1499327",1499326,562565,306394,278056,7,35,35,3545,80,86
"INsplit_sg1r 154304",154304,338177,194257,183487,6,19,19,2189,65,69
"INsplit_sg1r 1571935",1571934,392763,176624,159454,28,8,8,2632,33,35
"INsplit_sg1r 1612234",1612233,344874,160312,154412,13,34,34,2276,66,67
"INsplit_sg2l 1274821",1274820,166043,110924,106970,4,34,34,1996,40,41
"INsplit_sg2l 1275802",1275801,164287,92185,89265,5,6,6,1594,32,33
"INsplit_sg2l 1329167",1329166,401414,220952,211221,10,22,22,3149,97,99
"INsplit_sg2l 1382195",1382194,194966,109154,106134,5,13,13,1698,46,48
"INsplit_sg2l 1405727",1405726,318851,183612,176695,13,43,43,2882,77,80
"INsplit_sg2l 1438683",1438682,240358,177209,171293,28,51,51,2696,75,77
"INsplit_sg2l 1457579",1457578,150811,106778,103638,11,3,3,1391,45,46
"INsplit_sg2l 1520959",1520958,186402,87153,81856,1,19,19,1403,15,16
"INsplit_sg2l 1957715",1957714,193143,94930,91921,8,12,12,1490,46,50
"INsplit_sg2r 1301718",1530009,192169,131849,128947,18,32,32,2119,34,36
"INsplit_sg2r 1383588",1383587,153680,115184,112221,7,3,3,1560,50,52
"INsplit_sg2r 1383601",1383600,218652,114945,111649,16,18,18,1779,42,44
"INsplit_sg2r 1392933",1392932,98274,71451,65018,6,13,13,830,28,30
"INsplit_sg2r 1441074",1441073,134293,78595,76019,14,12,12,1306,30,31
"INsplit_sg2r 1441390",1441389,99152,70190,68288,4,7,7,1086,30,34
"INsplit_sg2r 1444675",1444674,234710,131759,116158,10,7,7,2041,17,20
"INsplit_sg2r 1454933",1454932,351592,219860,214161,18,23,23,3366,105,109
"INsplit_sg2r 1616493",1616492,185778,139125,135653,17,26,25,1830,70,71
"INsplit_sg2r 1725170",1725169,276175,150240,144514,15,21,21,2241,33,35
"INsplit_sg2r luqin-postsynaptic5",962948,475000,241799,222089,9,38,37,3446,92,95
"INsplit_sg3l",1312390,422419,224143,214877,18,8,8,3633,57,59
"INsplit_sg3l 1275230",1275230,165410,127574,124084,11,26,26,2148,38,41
"INsplit_sg3l 1278948",1278947,127213,98908,96379,10,5,5,1582,43,47
"INsplit_sg3l 1279253",1279252,167096,131142,127481,11,12,12,1719,55,60
"INsplit_sg3l 1339153",1339180,115598,87065,82519,11,1,1,1011,27,28
"INsplit_sg3l 1383185",1440653,210202,161394,156758,9,31,30,2690,60,64
"INsplit_sg3l 1386337",1386336,171206,134031,131148,8,12,12,2309,47,48
"INsplit_sg3l 1415437",1415436,121955,95842,93655,2,8,8,1268,55,57
"INsplit_sg3l 1422854",1422853,166325,133717,130248,6,6,6,1656,69,73
"INsplit_sg3l 1442135",1442134,122420,96793,93723,6,6,6,1322,47,50
"INsplit_sg3l 1631437",1971433,209961,143410,138936,10,29,29,2002,72,74
"INsplit_sg3l 707998",707997,179098,137701,134998,8,8,8,2411,44,46
"INsplit_sg3r 1166369",1166368,117738,91121,88251,10,6,6,1399,25,27
"INsplit_sg3r 1324108",1324107,215150,159756,155997,27,18,18,2332,66,69
"INsplit_sg3r 1386276",1386275,109957,85381,82912,4,6,6,1511,42,44
"INsplit_sg3r 1404084",1404083,55682,45314,44700,2,1,1,540,14,15
"INsplit_sg3r 1423132",1423131,199445,107783,99764,6,0,0,1404,38,39
"INsplit_sg3r 1425622",1425621,109342,86434,84692,8,10,10,969,33,36
"INsplit_sg3r 1947648",1947647,86880,69488,68132,5,3,3,877,20,22
"INsplitATO_sg1r",954295,293768,154656,148226,6,19,19,2379,45,47
"INsplitBronto_sg1l",1365232,293326,137937,129329,44,60,60,1949,59,62
"INsplitBronto_sg1r; ATO",1569660,316106,166579,159514,71,83,82,2460,64,67
"INsplitCR_PDF_sg1l2",1354979,556527,312224,295780,44,26,26,4316,112,115
"INsplitCR_sg0r1",1732697,371856,191318,147297,15,8,8,2087,46,48
"INsplitCR_sg1l1",2015571,448923,238805,197462,17,7,7,2142,60,63
"INsplitCR_sg1l3",1387474,568109,210863,189044,14,24,24,3256,41,44
"INsplitCR_sg1l4",1308413,398913,184397,164412,23,17,17,2970,47,49
"INsplitCR_sg1l5",1351307,452267,242069,230427,30,25,25,3880,79,83
"INsplitCR_sg1r1",1310363,266284,111595,94072,6,5,5,1404,20,22
"INsplitCR_sg1r2",759694,690327,323056,262301,46,12,12,4235,69,72
"INsplitCR_sg1r3",1731304,421548,211383,198707,21,13,13,3248,59,60
"INsplitCR_sg2l1",1351280,313655,164933,157904,21,20,20,2264,68,69
"INsplitCR_sg2l2",1732095,537357,303222,290512,103,42,42,4434,132,139
"INsplitCR_sg2l3; leuco",1653907,258424,114496,110716,27,15,15,1831,43,45
"INsplitCR_sg2r1",1420237,389156,237482,229960,17,13,13,3923,84,87
"INsplitCR_sg2r2",1488194,363743,231995,225266,90,46,46,3042,105,109
"INsplitCR_sg2r3",1611683,264062,147901,141659,49,12,12,2309,60,61
"INsplitCR_sg2r4",1412560,185043,112829,108790,11,7,7,1924,51,54
"INsplitCR_sg3l1",1545349,256087,199988,194907,78,37,37,2742,94,103
"INsplitCRATO_sg3l",708202,474620,274660,265414,34,52,51,4307,116,118
"INsplitCRATO_sg3r",1400382,385936,240675,233377,42,22,22,3950,94,98
