,x
188153,prototroch_7clock_P
189615,hPUc2r
190983,INpreMN3r
192051,antPUc4r
192132,antenna_right13;SN
192214,antCR5r
192257,antPUc7r
192323,antPUc6r
192436,antCR4r
192595,antPUc8r
192812,antPUc3r
193047,antPUc9r
193819,antCR3r
198277,prototroch_6clock_P
198864,prototroch_6clock_A
201048,covercell6clock_ant
202807,prototroch_5clock_P
203433,prototroch_5clock_A
204577,prototroch_4clock_P
206767,prototroch_2clock_P
207330,prototroch_2clock_A
208456,prototroch_1clock_A
209643,pnb 209644
212664,prototroch_1clock_P
219569,covercell12clock_post
223220,INhead_l 223221
227221,INbiped_sg1r
228289,cioMNcover_r
237911,MC2biax-1
241978,cPRCr1
246584,INRGWa-dcr1
247535,SN_NS20l
247790,INcommasc_sg2r 247790
248696,SN_NS19l
250842,SN_ASTC1r
251790,INRGWa-dcl1
252137,cPRCr2
252608,cPRCl1
252853,cPRCl2
252984,INdesc_l 252984
257885,IN_NOSdr
259763,INipsiasc_sg1r 259764
261398,MC3cover_l
265148,SN_NS20r
269876,SNbicil_r
273055,covercell4clock_ant
273576,SN_NS19r
275699,SN_DLSO3_3l
276547,SNr with bubble 2
277200,SN_MIP1l
280016,INPDF_sg2r
284315,Ser-h1r
289898,SN_MIP4l
290858,SN_NS3r
295849,SN47Ach
296186,INdesc_l 296187
298685,SN_DLSO3_5l2
300466,SN_DLSO3_5l1
300976,SN_WLD1l
306267,nuchal_dr1; cc_dr_1
306623,SNhead_r 306623
307194,SN_NS6
308269,SN_NS22r
309165,SNadNS22_r
313716,IN_NOSvr
316821,SN_MIP4r
318576,SN_NS5r
320687,SNhead20_l
324793,dsoCR2r
328632,INintr1
331495,INhead_r  331495
335229,INdesc_r 335229
338442,SNcsv_mn_postyn
344239,MNl3
346796,SN_LSO_r; INintr2
347709,INvc_r1 347710
355224,INpreMN2l
357455,IN_vc_r8 357456-RRT with soma
359142,MNr2
359612,INvc_r3 359613
359783,covercell9clock_post
361741,INdesc_l 1291724
364674,INmus_r
366190,INpro_r1
366449,INsn_r2
369396,INFVa_pygr1
370662,INsn_l3
370978,pygPBunp
380842,INsn_r3; sn_like
385141,INproT2_l2; INpro_l2 
386260,IN 386261
386671,INrope_l1
387680,INintl1
390240,SNstiff_sg0r1
392410,INhead_r; INintr3
393182,INdesc_r 393182
397532,prototroch_3clock_P
399192,SN_DLSOr6
399224,SN_DLSOr7
399266,SN_DLSOr2
401601,IN cPRC_postsyn_IN3
409861,INdc_l2
411531,INsn_l4
414949,INdc_r1
422125,INsplitPB_RF/Ya_sg1l
423355,MNperif_luqin_sg2l
423498,SN_NS1l
429993,SN_DLSO2l
430600,SN_DLSO2_1l
431489,SN_DLSOr10
433286,MUSpx
436248,SN_ASTC1l
441817,SN_LHSO2golden_l
442961,SN_WLD1r
445419,INipsiascMIP_pyg
445828,INsplitPB_sg2l2
449841,sensory25;SN
452157,SN_NS22l
452180,SN_NS16r
454054,SN_DLSO1.2_5l_DLSOl10
463126,SN28l
463617,SNblunt_l
469848,INr 469849
476224,SN_DLSO1.3_PDF_4r
478001,INipsiasc_sg3r 478001
482732,SN_DLSOl1
485566,SN_NS15l
486036,SN_DLSO1.2_2l_DLSOl8
486654,SN_NS29r
488162,SNaant_2l; SN_38
493121,INsplitPU_sg2r  493122
493278,SN_MIP1r
493317,INhead_l 493318-T
493786,INpro_r2; INvc_r7
497208,SNr 497209
498302,INpro_l2; INvc_l2
499451,INpro_l3
503432,INvc_l3 503433
505193,luqin47-postsynaptic_left
505209,INipsiasc_sg2l 505209
508114,SN_DLSO1.2_4lPDF-dcl2
515762,INW_r2; INvc_r5
518390,EC_V_glila_sg1_1 518391
518599,paratroch_I_vl_2
518764,MUSlong_V_sg2l_7
519721,MUSlong_V_sg2l_11
519936,MUSlong_V_sg2l_8
520593,MUSlong_V_sg1l_8
520755,MUSlong_V_sg1l_6
521359,EC_V_sg1l_3 521360
523862,SN_DLSO1.2_1l
523874,IN 523875
525800,INsplitPB_sg3l2
528241,IN FVa-right4_sigold
531949,SNnuchNS_r2
532764,SN_IRP2-FMRF
537119,INhead_l 537119
537125,SN_NS5l
541367,SN_DLSO1.2_2r_DLSOr9
542612,akrotroch_r1
550345,SN_DLSOl5
555130,EC_V_sg2l_4 555131
556262,EC_V_7 5l56263
556399,MUSlong_V_sg0l_6
556693,paratroch_I_vl_1
556718,INdecuss_r 1363308
557195,MUSlong_V_sg1l_4
557403,MUSlong_V_sg1l_5
557901,MNring_sg1r7
557944,INproT3_r1; INpro_r3
564048,flat glia 564048
565079,INipsiasc_sg3l 565080
568273,MUSlong_D_sg0r_4
568290,MUSlong_D_sg1r_12
568702,MUSlong_D_sg0r_2
568710,MUSlong_D_sg0r_3
573635,MUSlong_D_sg0r_5
575119,MUSlong_D_sg2r_8
575319,paratroch_II_dr_1
575448,MUSlong_D_sg2r_9
575787,paratroch_II_dr_2
575853,MUSlong_D_sg2r_7
577483,INbackcross3_r
577621,paratroch_III_dr_3; telotroch_dr_3
578783,paratroch_III_dr_2; telotroch_dr_2
579173,VNCperif_sg2r
579543,EC_D_sg3r_1 579544
579755,MNring_sg3l1
579865,EC_D_sg3r_2 579866
580213,MUSlong_D_sg3r_6
582306,MUSlong_D_sg3r_5
583190,MUSlong_D_sg0r_1
584184,IN 584185
585558,luqin4-postsynaptic5
587391,MUSlong_V_sg1r_10
587962,MUSlong_V_sg1r_9
588869,SN_NS16l
590953,INsn_r4
592728,MUSlong_V_sg1r_8
593488,MUSlong_V_sg0r_4
593849,MUSlong_V_sg1r_12
594344,MUSlong_V_sg2r_7
600071,MUSlong_V_sg2r_6
604671,MUSlong_V_sg1r_11
607961,paratroch_I_vr_2
608173,paratroch_I_vr_1
608460,ventralParaPB2_sg1r
608926,EC_V_sg1r_1 608927
609098,EC_V_sg1r_2 609099
612991,SN_DLSOr5
615803,SN_DLSO1.2_5r_DLSOr8
628517,INbiaxHmid_sg2r
629210,SN_NS18r
633874,SN_DLSO3_PDFrPDF-dcr2
637265,INarc2r
649899,INhead_l 649900
653848,INdinofl_vnc_r5 653848
656354,MNdecuss_l 656355
657898,luq47_left-FVa_middle_right-postsyn1
660463,SNhead_l; INintl2
668812,SNpygM_l
669558,SN 669559
671957,INdc_r3
672228,SN_DLSO3_1r
672986,IN 672987
673344,SNadNS22_l
689547,INcommasc_sg2l 1307803
693303,SNhead_r 693304
707997,INsplit_sg3l 707998
708069,INleg_sg2r
708202,INsplitCRATO_sg3l
708228,INsplitPB_sg2l4
709878,akrotroch_r3
715837,MNbiramous_sg1r1
738760,antPUc1l
744953,dsoNPB1unp
746037,covercell8clock
751490,covercell9clock_and
756864,INvc_l7 756865
758789,SN 758790
758871,INipsidesc_sg2r 758872
759694,INsplitCR_sg1r2 
762387,INbush 762388
764615,INipsiasc_sg2l 764616
766165,eyespot_PRCl_R1
766682,INangle_r 766683
768031,covercell12clock_ant
768500,INvc_l8
768964,glia 768965
770519,INhead_l 770520
770802,eyespot_PRCr_R1
771631,eyespot_PRCr_new1;SN
772993,eyespot_PRCl_new1; SN
774105,INarc1r
774258,covercell1clock
776455,INcross_l1; INvc_l1
780577,SN_DLSO1.1_1r_NP_r
780915,INdecuss_l 780916
783257,flat glia 783258
786570,INhead_r 786571
796391,dsoCR1r; PDF
796862,SN_DLSO1.2__DLSOr11
798041,INbiax_r
800116,ciliatedGland_l12
801132,INbiax_l
802066,INcommasc_sg1l 802067
802199,IN with trunk soma 802200
804282,MUSob-ant_m-pp_sg1r_1
805976,IN 805977 immature
812240,IN 812241
813171,IN 813172 peptiderg
813772,IN 813773
814651,IN 814652
824903,INmeta_sg0r
826263,EC_D_sg3r 826264
826675,MNl2
827510,INcomm-Upcross_sg1l1
837128,SN_DLSO2_necklace-l
837942,SNnuchPDF_l1
839186,SN 839187
844338,EC_V_sg1l 844339
854174,INZ_r1
854770,IN_closetoMC3
857325,INpear_r2
888787,MUSchae_notAac_sg1r_3
893804,IN 893805
896817,IN 896818 
897643,INdesc_r 897644
907055,MNacic_sg3r
907144,MNpostacic_sg3l1
908068,INcomm-Upcross_sg1r1; INcomm-Uparc_sg1r  
909450,MUSchae_notAac_sg3r_2
923710,INproT2_r2; INpro_r2
932125,MNring_sg1r6
932287,INipsidesc_sg1l1 932288
932505,INsplitPB_sg2l3
936192,paratroch_III_dl_2; telotroch_dl_2
939008,MUSlong_D_sg3l_7
940016,paratroch_II_dl_2
941766,MUSlong_D_sg2l_9
942028,MUSlong_D_sg0l_9
942233,MUSlong_D_sg0l_7
942898,MUSlong_D_sg0l_8
943145,MUSlong_D_sg1l_12
943540,MUSlong_D_sg0l_6
944377,MUSlong_D_sg0l_4
944941,paratroch_I_dl_1
945180,INcommasc_sg2r2
945427,MUSlong_D_sg1l_13
945717,EC_D_sg0l_1 945718
954295,INsplitATO_sg1r
954910,MNwave_sg3r1
955019,VNCATO_sg1l
955074,MNspiderATO-ant_sg2r1
955370,INcommasc_RYa_sg2l
957270,IN 957271
958099,INcomm_sg2r 958100
961337,INcomm_sg2l 961337
961644,MNVNC_sg2r
962326,INvnc_r3 962327
962948,INsplit_sg2r luqin-postsynaptic5
979532,EC_V_sg1l_8 979533
979707,MUSob-post_neuDlong_sg1l_4
980321,INvnc_sg3l 980322
980357,INvnc_l5 980358
981467,INsqNSasym_r
982115,MNheadV_l2
982688,SNaant_3r
983759,SNaant_1r
984413,SNaant_2r
987008,INsplitPB_RF/Ya_sg1r
988822,MNheadV_r1
992087,paratroch_III_vl_3; telotroch_vl_3
992096,paratroch_III_vl_2; telotroch_vl_2
992125,paratroch_III_vr_2; telotroch_vr_2
992139,paratroch_III_vr_1; telotroch_vr_1
992309,paratroch_III_dr_1; telotroch_dr_1
992318,paratroch_III_dl_1; telotroch_dl_1
992337,paratroch_II_vl_4
992344,paratroch_II_vl_3
992355,paratroch_II_vl_2
992365,paratroch_II_vl_1
992374,paratroch_II_vr_4
992383,paratroch_II_vr_3
992401,paratroch_II_vr_1
992419,paratroch_II_dr_3
992429,paratroch_II_dl_3
992438,paratroch_I_dr_2
992446,paratroch_I_dr_1
992455,paratroch_I_dl_2
1000272,INipsidesc_sg1r 1000273
1003081,antCR3l; SN
1016172,MNax_sg1l
1016678,INhead_r 149323
1018303,INcommasc_sg1r 1018304
1018325,INcommdesc_sg1l 1018326
1023901,pnb 1234567
1024095,IN 1024096
1026501,MNring_sg3r1
1026962,MNcrab_sg3r1
1027911,MUSlong_V_sg2l_3
1027917,MUSlong_V_sg3l_3
1027923,MUSlong_V_sg2l_4
1027959,MUSlong_V_sg3l_6
1027978,MUSac_neuPV_sg2l_3
1028383,MUSlong_V_sg2r_5
1028395,MUSlong_V_sg3r_6
1028401,MUSlong_V_sg3r_7
1028407,MUSac_neuAV_sg3r_1
1028616,MUSac_neuPV_sg2l_2
1028750,MUSac_neuPV_sg2l_1
1029097,MUSchae_neuAVt_sg2l_1
1029530,MUSchae_neuVob_sg2l_2
1031618,MUSlong_V_sg2r_8
1032061,MUSac_neuPV_sg2r_1
1033010,MUSac_neuPV_sg2r_3
1035809,MNVNC_sg3l 10335809
1046988,VNC neuron 1046989
1048573,VNC 1048574
1050287,IN 1050288
1051076,MUSac_neuPV_sg2r_2
1051916,MUSac_neuPV_sg3r_1
1051922,MUSac_neuPV_sg3r_2
1051929,MUSac_neuAV_sg3r_2
1052127,MNperif_sg3r 1052127
1053949,RGWa_incomplete-sigold
1054945,INpreMN1l
1057387,MUSlong_V_sg2l_9
1064990,INfoot_r1
1065030,INcommascFV_sg2r
1065083,INr 1065084
1065166,SNbicil_l
1065178,SNnuch_l12 ant 
1068584,SNnuch_r1 
1069423,SNnuch_l6 
1070612,SNnuch_r8 ant 
1072496,SNantlerPDF_r
1073332,SNl 1073333
1074256,SNnuch_l13 ant 
1075718,SNPDF-dcl1_DLSO1.1_4l
1075760,SNnuch_r13 
1076839,akrotroch_l1
1077241,SNnuch_l2 
1077291,SNPDF-dcl3
1077309,SNPDF-dcr1_DLSO1.1_4r
1082470,INipsiasc_sg1l 1082471
1086656,IN 1086657-Reza
1089948,SN_DLSOl2
1090653,SN_DLSOl 1090654
1092264,SN_DLSO1.0_1l
1092863,SN_DLSOl4
1101784,SNnuch_l7 
1103961,SNnuch_r2
1103977,SNnuch_r14
1104824,IN 1104825
1108355,SNnuchNS_l1
1108642,SNnuch_l8 
1111918,pnb 1111919
1113404,SNnuch_l9
1113608,metatroch_vr_3
1114055,metatroch_vr_2
1115832,IN 1115833
1116504,SN28r
1117148,SN_HSG3_1r
1118465,SNnuch_l14 fork 
1120455,SN_DLSOl8
1122238,SN 1122239
1123072,SN_DLSO1.1_3r_116r
1123964,SN_DLSOr 1123965
1125044,SNnuch_l3
1126354,SNnuch_l11
1129677,IN MIP 1129678
1130041,SN_DSO17
1130360,SN_DSO10
1130583,SN_DSO12
1130883,IN 1130884
1135395,MNpostv_sg3r
1136703,MUSac_neuAV_sg1r_1
1137108,MUSac_neuPV_sg1r_1
1137595,MUSac_neuPV_sg1r_2
1145279,MUSac_neuAV_sg1r_2
1150049,ciliatedGland_r1
1155295,SN 1155296
1155695,SN_DLSO1.4_1l
1156145,SN_DLSOl6
1156418,SN_DLSO1.3_4l_DLSOl11
1156554,SN_NS18l
1157465,INhead_l 1157465
1158821,SN_DLSO3_5r2
1159301,SN_DLSO3_5r1
1160175,IN 1160176
1160628,SN_DLSO3_3r
1160991,SN 1161035
1161034,SN_DLSO1.1_3l_116l
1161044,SN_DLSO1.1_2l
1163030,SN_DLSO1.3_2l
1166300,MC3cover_r
1166368,INsplit_sg3r 1166369
1166446,pygCirrusPU2r post-r 1166447
1172582,INcommasc_sg3r 1172583
1173303,INcommasc_sg1r 1173304
1173400,VNC IN 1173401
1178653,INipsiasc-short_sg3r 1178654
1178663,VentralpygCR2r
1181940,MNspider-ant_sg3r1
1184318,SNhead_r 1184319
1185115,INlasso_r4
1185175,INvc_l6 1185176
1203965,metatroch_vr_1
1204176,SNstiff_sg0r2
1204373,metatroch_vr_4
1204562,akrotroch_l2
1204576,metatroch_vl_1
1204589,metatroch_vl_2
1204752,MUSll_sg0r_4
1209682,SNr 1209683
1209687,SNr 1209688
1209702,SNr 1209703
1211899,SNnuchBx_l
1212800,SNMIP-vcr
1214973,SNnuch_l4
1215017,INbigloop_r2
1216549,MNacicX_sg3lr
1224072,SN_DSO13
1224344,metatroch_vl_4
1224471,ciliatedGland_l2
1224630,INZ_l4
1230301,MUSac_neuAV_sg2r_1
1231018,MUSac_neuAV_sg2r_3
1238488,MUSlong_V_sg1l_7
1238904,MUSac_neure_sg1r_1
1239327,MNcrab_sg3l1
1241266,MNring_sg3r2
1243776,MNipsi_sg2l 1243777
1244182,MNring_sg3r3
1249546,MNring_sg2l2
1250520,INcommasc_sg2l 1250521
1258527,IN 1258528
1259584,Glia pigmented 1259585
1261995,INheadPDF_l 1261996
1263275,IN 1263276
1264486,SNnuchNS_r1
1264498,INdecussn2_l 1264499
1265745,IN 1265746
1265951,INR1_l1
1270523,SN_HSG3_6r; sensory64;SN
1271721,INDLSO_l
1271737,IN_l 1271738
1271778,SNblunt_r
1271860,IN 1271861
1271884,IN 1271885
1271920,IN 1271921
1271928,SN 1271929
1272016,flat glia 1272017
1272459,INW_r1
1272523,INr 1272524
1272534,INhead_l 1272535
1272664,hCR3r
1272719,hCR3l
1272870,INipsiasc_sg0l 1272871
1272941,antCR4l
1272952,IN 1272953
1273022,SNlasso_r 1273023
1273131,INlasso_postSN_r1
1273155,SN_DLSO3_PDFl
1273359,INlasso_l3
1273470,IN 1273471
1273521,IN 1273522
1273539,INhead_l 1273540
1273554,INhead_l 1273555
1273563,INhead_l 1273564
1273570,SNant 1273571
1273949,IN 1273950
1274024,pygidial_pigment_cell 1274025
1274031,ventralpygPB1r
1274053,VentralpygCRunp
1274302,ventralpostParaPUc2_sg2l1
1274440,INipsiasc_sg3l 1274440
1274485,IN 1274486
1274603,INcomm-Upstairs_pygr4
1274623,ECl_pygl rad glia  1274624
1274799,Ser-tr1r
1274820,INsplit_sg2l 1274821
1275010,MUSchae_neuAVt_sg3l_1
1275026,VentralpygCR1l
1275053,VentralpygCR1r
1275135,SNPDF_pygr
1275230,INsplit_sg3l 1275230
1275243,INipsiasc_sg3l 1275244
1275343,VNC neuron 1275344
1275357,ventralpygPB1l
1275367,INcomm-Upstairs_pygl2
1275444,IN 1275445
1275591,INr 1275592
1275595,INasym_r
1275768,IN r 1275769
1275801,INsplit_sg2l 1275802
1275812,VNCimmature_l neuron 1275813
1275823,ventralCirrusPB1_pygr
1275865,SN_DSO6
1275880,SN_DSO11
1275907,SN_DSO8
1275916,INhead_l 1275917
1276040,INfoot_l2
1276147,INhead_l 1276148
1276376,MUSlong_V_sg2l_5
1276385,SNnuch_l5 
1276462,SN 1070398
1276485,IN 1276486
1276652,INZ_l2
1276717,IN 1276718
1276781,ECl_head_pnb 1276782
1276831,MUSlong_V_sg1l_3
1276909,SNhookr
1276971,dorsalParaPB2_sg2l
1276992,dorsalTeloPB1l
1277115,MUSlong_V_sg1l_2
1277150,MUSlong_V_sg0l_3
1277759,cioMNcover_l2
1277851,SNFVa-sg3r1
1277932,CiomRaphe_n3_sg1l
1278006,hPBc1l
1278038,SNFVa-sg3l1
1278051,hPU1l
1278185,pygCirrusPU4r
1278418,INipsiasc_sg3r 1278419
1278565,sensory67;SN
1278598,pygCirrusPBcl4
1278611,covercell6clock_post
1278649,vacuolar_cell_head1
1278688,VentralpygCR2l
1278697,VentralpygCR3l
1278748,ECl_pyg 1278749
1278774,INcomm-Upstairs_pygl_immature
1278903,pygCirrusCR1l
1278947,INsplit_sg3l 1278948
1278959,INcomm-Downarc_sg2r1
1279078,MNdecus-branch_sg3l
1279252,INsplit_sg3l 1279253
1279508,pygCirrusPUc3r_SC pygidium 1279509
1279518,pygCirrusPBc1r
1279525,pygCirrusMSPUc2r pygidium 1279526
1279543,pygCirrusPUc1r_Hair_cell pygidium 1279544
1279563,pygCirrusCR2r
1279584,MUStrans_pygr_4
1279612,MUSob-post_neuV_sg3r_2
1280027,Loop-r
1280134,SNFVa-sg2l1
1280329,INipsiasc_sg1r 1280330
1280537,INhead_r 1280538
1280573,IN 1280574
1280930,MNperif_sg2l 1280931
1281060,dsoCR3r
1281169,hPBc1r
1281242,SNant_r 1281242
1281333,dsoCR4r
1281424,INcomm-Upstairs_pygl3
1281433,INcommasc_sg3l 1281433
1281473,INcommasc_sg2r 1281474
1281886,SN_NS17l
1281939,SNlasso_l 1281940
1281988,INhead_l 1321570
1282428,SN_LHSO2_1l
1282477,INhead_l
1282582,INcross_r3
1282806,Glia pigmented 1282807
1282812,SNbicil_sg1r 1638664
1282965,antCR1r
1282984,covercell7clock_post
1282992,covercell4clock_post
1282998,covercell2clock_post
1283038,SN 1283039
1283053,hPU1r
1283875,IN 1283876
1284425,INcommasc_sg2r 1284426
1284610,INhook_r
1284704,SN_NS17r
1284780,SN_LHSO2_3l
1285069,MNant_r 
1285075,INpear_l1
1285092,ECl_head 1285093
1285140,IN 1285141
1285145,IN 1285146
1285267,IN 1285268
1285301,IN 1285302
1285306,INhead_r 1285307
1285310,INpreMN2r
1285327,IN 1285328
1285367,SN_NS15r
1285393,INpreSer_r
1285696,SN_DLSO1.2_4rPDF-dcr3
1285768,SN_NS1r
1285842,SN ventral head r 1285843
1285875,INpro_r6
1285969,SNhead_centr_2
1286364,flat glia 606591
1286389,supportcell 1286390
1286402,INcomm_sg1r 1286403
1286825,INsnl_r
1287162,pygCirrusCR2l
1287439,IN head
1287449,INPDF-lcr2
1292186,SN_NS29l
1292228,SNasym_l
1292334,ventralCirrusPB1_sg2l
1292352,INcommdesc_sg1l 1292353
1292427,INRGWa-dcl2
1292458,IN_NOSvl
1292932,INRGWa-dcr2
1292947,INpro_r7
1293005,INdescLuqinPDF_r
1293015,IN straight 1293016
1293381,IN 1293382
1293404,SN 1293405
1293484,MNbiramous_sg3r1
1293518,INPDF-lcr1
1293815,INcomm_sg2r 1293816
1293921,flat glia 1293922
1294206,IN 1294207
1294400,SN_DLSO1.3_1r
1294413,SN_DLSO1.3_2r
1294947,akrotroch_r4
1294966,covercell5clock
1294978,covercell7clock_ant
1294986,Ser-tr1l
1295044,MVGland_l3
1295161,IN 1295162
1295231,INcommdesc_sg2r 1295232
1295406,IN-biaxonal_ipsi_l_VNC 1295407
1295517,MNbiramous_sg1l1
1295823,MNVNC 1295824
1295953,INcommascATO_sg2l
1296676,MNVNC_sg1 1296677
1296875,VNCcomm_sg1r 1296876
1296919,INVNC_sg1r 1296920
1297489,MNhose_sg1r1
1297501,INipsidesc_sg1l 1297502
1297975,MNring_sg3l4
1298294,ventralpostParaPUc1_sg2r
1298374,INipsi-bifu_l_ATO left 1298375
1298402,paratroch_II_dl_1
1298426,Loop-l
1298484,INcommascATO_sg3l2
1298552,dsoPUc1unp
1298844,SNmus_l
1298856,IN 1298857
1298898,INfoot_l1
1299051,IN 1299052
1299058,IN 1299059
1299267,SNhorn_l 
1299490,INbush 1299491
1299586,INmidL_r2
1299667,INhead_l 1299668
1299789,paratroch_II_vr_2
1300035,INhead_l 1300036
1300344,IN 1300345
1300731,SNantlerPDF_l
1301108,MN MIP?? 1301109
1301261,flat glia 1301262
1301268,INpreSer_l
1301396,ventralParaPU1_sg2l; SN
1301967,IN 1301968
1302031,INpro_l4
1302082,INcross_l4
1302189,cMNATO
1302247,INbiaxH_sg2l2
1302266,INdescRGWa_r
1302289,pnb 1302290
1302345,IN 1302346-RGWa-post2
1302513,SN 1302514
1302663,SN 1302664
1303054,covercell2clock_ant
1303153,IN 1303154
1303297,INhead_l 1303297
1303655,INhead 1303656
1303909,INlasso_l1
1304469,INpear_r1
1304524,glia? 1304525
1304654,INbiaxH_sg1l
1304775,INlasso_r3
1304924,INsplitPB_ATO_sg2r1
1304968,INpreMN1r
1304979,INhead_r 1304980
1304990,INsplitPBant_sg1r
1305461,INipsidesc_sg1l 1305462
1305492,MNsmile_sg1l1
1305770,flat glia MC3cover 1416870
1305955,MUSac_neuDach_sg1l_1
1306016,SNnuch_r7; fork
1306131,SNnuch_r6  
1306147,SNnuch_r3
1306155,SNnuch_r9
1306246,flat glia 1306247
1306268,SNnuch_r10
1306315,metatroch_vl_3
1306349,interparaPM1_sg1r
1306490,IN 1306491
1306584,INarc2l
1306608,INcosplit_sg2l 1306608
1306859,INcommdesc_sg1r 1306860
1306906,IN r 1306907
1307040,MNperif_sg1r 1307041
1307230,interparaPUc1_sg1r
1307247,interparaPU1_sg1r
1307459,n2-postsyn 1307460
1307524,MNbow_sg2r1; proenk
1307663,INbigloop_r1
1307745,INdecuss_l 1307746
1308022,INcommdesc_sg1l1 1308022
1308347,INsplit_sg1l 1308348
1308387,EC_V_sg0rr 1308388
1308413,INsplitCR_sg1l4 
1308592,SNnuch_r11
1308618,MNring_sg1l1
1308877,INipsiasc_sg1l 1308878
1309032,INipsidesc_sg1l 1309033
1309222,SNnuch_r4 
1309228,SNnuch_r12 
1310016,SN 1310017
1310144,INVNC_sg1l 1310144
1310363,INsplitCR_sg1r1
1311006,INW_l3
1311483,INZ_r2
1311558,SN ventral head 1311559
1311597,SN r 1311598
1311697,INhead_r 1311698
1311712,SN_HSG3_4r
1311787,INcomm_sg1r 1311788
1311897,INDLSO_r
1312181,SN_DSO9
1312187,dsoPU1unp
1312224,IN 1312225
1312289,INasc_pygr1
1312363,INcommdescFVa_sg2l
1312390,INsplit_sg3l
1312505,MNsmile_sg1r1
1312558,flat glia GliaCR_sg1l1
1312586,INcommasc_sg1r 1312587
1312647,VentraltrunkPUunp-Glialike_sg2
1312678,INCM_sg1l1
1312731,chaeMech_sg1l2
1312929,IN 1312930
1313053,INipsiasc_sg2r 1313054
1313126,INcomm-Upstairs_FVa_PDF_pygl1
1313186,INcommasc_sg2l 1313187
1313602,INcommATO_sg1r
1313607,INcosplitATO_sg1l1
1314140,INcosplit_sg2r 1314140
1314425,INhook_l
1314620,MUSlong_V_sg2l_2
1314734,INlasso_r1
1314929,INcomm_sg3l4
1315028,MUSac_notA_sg3r_1
1315203,SN_DLSO1.4_1r
1315271,SN_DLSOr 1315272
1316038,IN 1316039
1316070,SN_DSO15
1316107,SN lateral head r 1316108
1316130,IN 1316131
1316332,IN 1316333
1316424,SN lateral head r 1316425
1316451,SN lateral head l 1316452
1316531,INhead_l 1316532
1316572,INbigloop_l2
1316939,SN_DLSO1.3r 1316940
1317111,IN_NOSdl
1317295,SNl 1317296
1317306,SNl 1317307
1317358,SN_HSG3_4l
1317375,INhead_l 1317376
1317564,dsoPU3unp
1317660,SN_DLSOr 1317661
1317942,INcross_l2
1318236,INdecuss_l 1318237
1318311,SN 1318312
1318325,SN 1318326
1318423,SN_DLSOr3
1318495,INdecuss_l 1318496
1318555,SNocc1l
1318602,INhead_l 1318603
1318919,antPUc3l
1318929,antPUc2l
1318938,antPUc4l
1318965,INhead 1318966
1318986,IN 1318987
1319057,IN 1319058
1319070,SNnuchBx_r
1319384,SNnuch_r18
